,0,1
598,20160521,12
599,20160522,12
600,20160523,13
601,20160524,11
602,20160525,12
603,20160526,10
604,20160527,11
605,20160528,13
606,20160529,13
607,20160530,10
608,20160531,13
609,20160601,11
610,20160602,12
611,20160603,11
612,20160604,12
613,20160605,12
614,20160606,13
615,20160607,10
616,20160608,11
617,20160609,11
618,20160610,11
619,20160611,12
620,20160612,12
621,20160613,14
622,20160614,11
623,20160615,12
624,20160616,12
625,20160617,13
626,20160618,11
627,20160619,13
628,20160620,12
629,20160621,15
630,20160622,12
631,20160623,12
632,20160624,12
633,20160625,10
634,20160626,11
635,20160627,11
636,20160628,11
637,20160629,13
638,20160630,12
639,20160701,12
640,20160702,12
641,20160703,12
642,20160704,11
643,20160705,12
644,20160706,11
645,20160707,12
646,20160708,11
647,20160709,12
648,20160710,11
649,20160711,12
650,20160712,15
651,20160713,12
652,20160714,12
653,20160715,11
654,20160716,10
655,20160717,12
656,20160718,11
657,20160719,11
658,20160720,12
659,20160721,12
660,20160722,11
661,20160723,10
662,20160724,11
663,20160725,10
664,20160726,12
665,20160727,10
666,20160728,12
667,20160729,10
668,20160730,11
669,20160731,11
670,20160801,12
671,20160802,12
672,20160803,13
673,20160804,10
674,20160805,11
675,20160806,12
676,20160807,11
677,20160808,13
678,20160809,12
679,20160810,11
680,20160811,12
681,20160812,12
682,20160813,11
683,20160814,12
684,20160815,10
685,20160816,12
686,20160817,10
687,20160818,11
688,20160819,12
689,20160820,12
690,20160821,10
691,20160822,10
692,20160823,12
693,20160824,10
694,20160825,12
695,20160826,13
696,20160827,11
697,20160828,10
698,20160829,10
699,20160830,11
700,20160831,11
701,20160901,10
702,20160902,10
703,20160903,11
704,20160904,11
705,20160905,11
706,20160906,10
707,20160907,12
708,20160908,12
709,20160909,11
710,20160910,11
711,20160911,12
712,20160912,11
713,20160913,12
714,20160914,12
715,20160915,13
716,20160916,12
717,20160917,10
718,20160918,11
719,20160919,11
720,20160920,10
721,20160921,11
722,20160922,12
723,20160923,9
724,20160924,10
725,20160925,10
726,20160926,13
727,20160927,11
728,20160928,11
729,20160929,11
730,20160930,12
731,20161001,13
732,20161002,11
733,20161003,11
734,20161004,11
735,20161005,11
736,20161006,12
737,20161007,12
738,20161008,10
739,20161009,9
740,20161010,10
741,20161011,11
742,20161012,10
743,20161013,10
744,20161014,12
745,20161015,12
746,20161016,12
747,20161017,12
748,20161018,10
749,20161019,11
750,20161020,10
751,20161021,13
752,20161022,11
753,20161023,11
754,20161024,11
755,20161025,11
756,20161026,10
757,20161027,11
758,20161028,10
759,20161029,11
760,20161030,11
761,20161031,13
762,20161101,11
763,20161102,10
764,20161103,12
765,20161104,10
766,20161105,11
767,20161106,10
768,20161107,10
769,20161108,11
770,20161109,12
771,20161110,12
772,20161111,13
773,20161112,11
774,20161113,13
775,20161114,13
776,20161115,11
777,20161116,11
778,20161117,12
779,20161118,13
780,20161119,11
781,20161120,10
782,20161121,11
783,20161122,10
784,20161123,11
785,20161124,11
786,20161125,12
787,20161126,12
788,20161127,12
789,20161128,11
790,20161129,11
791,20161130,11
792,20161201,13
793,20161202,12
794,20161203,12
795,20161204,11
796,20161205,11
797,20161206,11
798,20161207,11
799,20161208,13
800,20161209,11
801,20161210,13
802,20161211,10
803,20161212,10
804,20161213,11
805,20161214,12
806,20161215,11
807,20161216,11
808,20161217,10
809,20161218,10
810,20161219,12
811,20161220,12
812,20161221,11
813,20161222,11
814,20161223,10
815,20161224,11
816,20161225,10
817,20161226,12
818,20161227,11
819,20161228,12
820,20161229,12
821,20161230,13
822,20161231,11
823,20170101,13
824,20170102,12
825,20170103,11
826,20170104,15
827,20170105,11
828,20170106,13
829,20170107,14
830,20170108,12
831,20170109,13
832,20170110,12
833,20170111,11
834,20170112,11
835,20170113,11
836,20170114,11
837,20170115,12
838,20170116,10
839,20170117,11
840,20170118,10
841,20170119,10
842,20170120,10
843,20170121,10
844,20170122,10
845,20170123,11
846,20170124,11
847,20170125,10
848,20170126,10
849,20170127,9
850,20170128,8
851,20170129,9
852,20170130,9
853,20170131,9
854,20170201,10
855,20170202,11
856,20170203,10
857,20170204,10
858,20170205,9
859,20170206,8
860,20170207,9
861,20170208,11
862,20170209,9
863,20170210,10
864,20170211,10
865,20170212,12
866,20170213,9
867,20170214,9
868,20170215,10
869,20170216,11
870,20170217,13
871,20170218,11
872,20170219,13
873,20170220,11
874,20170221,13
875,20170222,11
876,20170223,12
877,20170224,11
878,20170225,13
879,20170226,12
880,20170227,11
881,20170228,12
882,20170301,12
883,20170302,11
884,20170303,12
885,20170304,10
886,20170305,9
887,20170306,10
888,20170307,9
889,20170308,10
890,20170309,9
891,20170310,10
892,20170311,10
893,20170312,10
894,20170313,10
895,20170314,10
896,20170315,11
897,20170316,11
898,20170317,10
899,20170318,13
900,20170319,12
901,20170320,14
902,20170321,10
903,20170322,11
904,20170323,10
905,20170324,12
906,20170325,10
907,20170326,9
908,20170327,10
909,20170328,10
910,20170329,10
911,20170330,11
912,20170331,12
913,20170401,12
914,20170402,10
915,20170403,11
916,20170404,10
917,20170405,11
918,20170406,12
919,20170407,13
920,20170408,13
921,20170409,14
922,20170410,16
923,20170411,13
924,20170412,12
925,20170413,12
926,20170414,12
927,20170415,13
928,20170416,13
929,20170417,12
930,20170418,10
931,20170419,12
932,20170420,13
933,20170421,11
934,20170422,11
935,20170423,13
936,20170424,15
937,20170425,14
938,20170426,15
939,20170427,11
940,20170428,11
941,20170429,12
942,20170430,14
943,20170501,11
944,20170502,10
945,20170503,11
946,20170504,11
947,20170505,12
948,20170506,13
949,20170507,14
950,20170508,16
951,20170509,12
952,20170510,15
953,20170511,11
954,20170512,12
955,20170513,13
956,20170514,10
957,20170515,11
958,20170516,10
959,20170517,18
960,20170518,11
961,20170519,11
962,20170520,12
963,20170521,13
964,20170522,13
965,20170523,9
966,20170524,14
967,20170525,11
968,20170526,11
969,20170527,13
970,20170528,14
971,20170529,11
972,20170530,12
973,20170531,13
974,20170601,14
975,20170602,13
976,20170603,15
977,20170604,15
978,20170605,14
979,20170606,13
980,20170607,14
981,20170608,12
982,20170609,20
983,20170610,19
984,20170611,14
985,20170612,14
986,20170613,20
987,20170614,12
988,20170615,12
989,20170616,13
990,20170617,13
991,20170618,10
992,20170619,10
993,20170620,10
994,20170621,10
995,20170622,11
996,20170623,12
997,20170624,13
998,20170625,14
999,20170626,13
1000,20170627,11
1001,20170628,16
1002,20170629,12
1003,20170630,14
1004,20170701,13
1005,20170702,12
1006,20170703,9
1007,20170704,11
1008,20170705,12
1009,20170706,11
1010,20170707,13
1011,20170708,11
1012,20170709,13
1013,20170710,15
1014,20170711,10
1015,20170712,11
1016,20170713,12
1017,20170714,14
1018,20170715,15
1019,20170716,10
1020,20170717,11
1021,20170718,12
1022,20170719,11
1023,20170720,11
1024,20170721,12
1025,20170722,13
1026,20170723,14
1027,20170724,14
1028,20170725,14
1029,20170726,10
1030,20170727,11
1031,20170728,16
1032,20170729,12
1033,20170730,12
1034,20170731,13
1035,20170801,13
1036,20170802,13
1037,20170803,10
1038,20170804,18
1039,20170805,14
1040,20170806,11
1041,20170807,17
1042,20170808,12
1043,20170809,13
1044,20170810,13
1045,20170811,13
1046,20170812,14
1047,20170813,16
1048,20170814,12
1049,20170815,12
1050,20170816,11
1051,20170817,13
1052,20170818,11
1053,20170819,15
1054,20170820,11
1055,20170821,13
1056,20170822,13
1057,20170823,11
1058,20170824,18
1059,20170825,15
1060,20170826,14
1061,20170827,13
1062,20170828,16
1063,20170829,17
1064,20170830,17
1065,20170831,13
1066,20170901,18
1067,20170902,15
1068,20170903,15
1069,20170904,11
1070,20170905,14
1071,20170906,13
1072,20170907,12
1073,20170908,19
1074,20170909,12
1075,20170910,13
1076,20170911,8
1077,20170912,12
1078,20170913,9
1079,20170914,10
1080,20170915,10
1081,20170916,12
1082,20170917,10
1083,20170918,12
1084,20170919,12
1085,20170920,11
1086,20170921,10
1087,20170922,13
1088,20170923,13
1089,20170924,11
1090,20170925,14
1091,20170926,11
1092,20170927,12
1093,20170928,13
1094,20170929,15
1095,20170930,14
1096,20171001,16
1097,20171002,17
1098,20171003,17
1099,20171004,11
1100,20171005,13
1101,20171006,13
1102,20171007,14
1103,20171008,10
1104,20171009,10
1105,20171010,11
1106,20171011,11
1107,20171012,13
1108,20171013,13
1109,20171014,14
1110,20171015,10
1111,20171016,14
